id|area|expected_behavior|pytest_selectors|contract_prefixes
SCOPE-COVERAGE|scope|--coverage reports searched and unavailable roots on stderr without corrupting JSON stdout; empty/multi-root discovery also reports roots.|test_discovery.py::test_multiple_profiles*;test_discovery.py::test_empty_json_list*;test_find_integrity.py::test_coverage_and_root_flags*|
SCOPE-FILE|scope|--file skips discovery, detects either provider from records, preserves exact source/child identity, and constrains all session commands.|test_file_selection.py::*;test_find.py::test_file_selection_applies*|FIND-roundtrip
SCOPE-FILE-VALIDATION|scope|An explicit file rejects inconsistent optional ID, project, provider or profile flags, missing files and conflicting selections.|test_file_selection.py::test_file_validation*;test_file_selection.py::test_explicit_file*|
SCOPE-LEGACY|scope|Legacy Claude files without cwd can still match the full encoded project directory.|test_catalog.py::test_legacy_scope*;test_find_integrity.py::test_legacy_claude*|
TIME-WINDOW|scope|--since is inclusive and --before exclusive; dates and ISO timestamps are interpreted as UTC instants. Fractional precision and recorded offsets must not change membership.|test_scope.py::test_since_includes*;test_scope.py::test_before_excludes*;test_scope.py::test_both_bounds*;test_scope.py::test_iso_datetimes*;test_scope.py::test_no_bounds*|TIME-fraction;TIME-offset
TIME-HANDLES|scope|today means UTC midnight; @N uses that session's start; filters renumber the remaining handles.|test_scope.py::test_today*;test_scope.py::test_a_handle*;test_scope.py::test_since_narrows*;test_scope.py::test_cmds_grep_honors*|
TIME-VALIDATION|scope|Invalid dates and handles return exit 2 with accepted forms; an empty window explains what was excluded.|test_scope.py::test_bad_dates*;test_scope.py::test_bad_since*;test_scope.py::test_a_bad_handle*;test_scope.py::test_an_empty*|
NAVIGATION-ROUNDTRIP|selection|Printed follow-up commands preserve exact files, provider, absolute project/root paths and source coordinates when run from another cwd.|test_discovery.py::test_nested_agent*;test_navigation.py::*;test_find.py::test_both_providers*|FIND-roundtrip
SHOW-SKELETON|show|The default skeleton shows text, tool calls and turn context; hidden kinds are named with recovery flags.|test_views.py::test_show_hidden_note*;test_read_cache.py::test_cold_and_warm*|
SHOW-FILTERS|show|--thinking includes reasoning, --tools includes results, --errors selects recorded failures, and --type selects exact or dotted kinds.|test_read_cache.py::test_cold_and_warm*;test_file_selection.py::test_file_scope*|
SHOW-AROUND|show|--around and --context select events by original physical line number and print whole selected text.|test_read_cache.py::test_cold_and_warm*;test_find.py::test_actual_source*|SHOW-zoom
SHOW-RANGE|show|--range accepts inclusive A:B and A-B spans; malformed values return exit 2 with syntax help.|test_views.py::test_show_range*;test_views.py::test_show_bad_range*;test_read_cache.py::test_cold_and_warm*|
SHOW-TAIL|show|--tail N returns the last N selected events in order and prints whole text.|test_views.py::test_show_tail*;test_read_cache.py::test_cold_and_warm*|
SHOW-TAIL-ZERO|show|--tail 0 means zero events, distinct from the specifically documented -n 0 unlimited convention. This boundary expectation is inferred.||SHOW-tail-zero
SHOW-FULL|show|--full includes all event kinds and prints whole text, as the help epilog and installed primer promise.||SHOW-full
SHOW-BUDGET|show|Broad show/prompts scans print whole text under the budget, trim explicitly above it, and honor --budget/--line-limit over SXR_BUDGET/SXR_LINE_LIMIT.|test_views.py::test_show_whole*;test_views.py::test_show_trims*;test_views.py::test_limit_zero*|
SHOW-EMPTY|show|No matching selected records returns exit 1 regardless of JSON/text rendering.||SHOW-empty
PROMPTS-HUMAN|prompts|Claude prompts exclude metadata and compaction summaries; Codex prefers explicit user_message events and otherwise uses recorded user content labels.|test_prompts.py::*;test_views.py::test_prompts*|PROMPTS-filter
PROMPTS-LEGACY|prompts|Unlabelled legacy user-role text remains available; duplicated legacy user-message forms do not produce repeated prompts.|test_prompts.py::test_codex_prompts_keeps_unlabelled*;test_prompts.py::test_codex_legacy*|
PROMPTS-ALL|prompts|--all includes every user-role event, including injected context, attachments and tool results.|test_prompts.py::*|PROMPTS-filter
CMDS-OUTCOMES|cmds|cmds prints recorded tool command text and paired ok/err/unknown outcomes for Claude and Codex.|test_codex_outcomes.py::*;test_providers.py::test_claude_list*|READ-provider-outcomes
CMDS-GREP|cmds|cmds --grep searches full untruncated command text across the scope with smart-case regex behavior, not command output.|test_views.py::test_cmds_grep*;test_codex_outcomes.py::test_completed_commands_display*;test_search_index.py::test_command_search*|
CMDS-LIMIT|cmds|The command-row limit applies across selected sessions; -n 0 shows all and truncation is reported.|test_views.py::test_cmds_limit*|LIMIT-json-cmds
CMDS-REGEX-ERROR|cmds|Bad --grep regexes exit 2 and name the flag and literal escape fix.|test_views.py::test_cmds_bad_grep*|
ERRORS-RECORDS|errors|Errors preserve original flagged records and denial kinds; repeated representations of one Codex outcome are not counted twice.|test_codex_outcomes.py::*;test_providers.py::test_claude_list*|READ-provider-outcomes
ERRORS-API|errors|Claude isApiErrorMessage records counted in session errors should also be retrievable through errors and show --errors.||ERRORS-api-error
ERRORS-LIMIT|errors|errors -n caps records across the whole range and reports omissions.||LIMIT-errors-scope;LIMIT-errors-notice
TOOLS-COUNTS|tools|tools counts calls and failures by tool from parsed records.|test_providers.py::test_claude_list*;test_codex_outcomes.py::test_completed_commands_counts*|READ-provider-outcomes
TOOLS-SKILL-INPUTS|tools|Each Skill call contributes once to the count for its own input.skill, even when several tool calls share a physical record.||TOOLS-skill-count
STATS-COUNTS|stats|stats reports per-property record counts, tokens, model, errors, interruptions and attribution from recorded data.|test_providers.py::*;test_codex_outcomes.py::test_completed_commands_counts*;test_lazy_discovery.py::test_selected_transcript*|
PATH-SOURCES|path|path prints selected source paths including Claude child files; --file returns only that explicit file and requires no full transcript parse.|test_lazy_discovery.py::test_path_never*;test_file_selection.py::test_file_scope*|SELECT-identities
GREP-MATCH|grep|grep searches decoded event text with smart-case regexes; -i forces any case, -F is literal, and -e permits a leading dash.|test_grep.py::test_capitals*;test_grep.py::test_ignore_case*;test_grep.py::test_metachar*;test_grep.py::test_pick_pattern*|GREP-modes
GREP-CONTEXT|grep|-C emits symmetric surrounding event windows without exceeding the global row cap; -A/-B teach the supported flag.|test_grep.py::test_context_windows*;test_cli.py::test_after_before*|
GREP-COUNT|grep|-c counts matching events per session, ranks by matches, reports first source event, and prunes zeros unless --all is set.|test_grep.py::test_count_table*;test_grep.py::test_count_all*;test_scope.py::test_count*|
GREP-ORDER|grep|--sort started returns oldest matching sessions first; invalid sort values return exit 2.|test_grep.py::test_count_sort*;test_grep.py::test_bad_sort*;test_cli.py::test_sort*|
GREP-IDS|grep|-l prints one selector per matching session.|test_grep.py::test_ids_only*|
GREP-LIMIT|grep|Match rows are capped by -n or the character budget; -n 0 lifts both caps, --budget 0 lifts the budget, and the true total is reported.|test_grep.py::test_limit*;test_grep.py::test_char_budget*;test_grep.py::test_budget_zero*;test_grep.py::test_count_limit*|
GREP-ERRORS|grep|No matches returns 1 with a scope hint; missing/invalid patterns return 2 with recovery advice rather than an empty-result status.|test_grep.py::test_zero_matches*;test_grep.py::test_bad_regex*;test_grep.py::test_missing_pattern*;test_grep.py::test_second_positional*;test_cli.py::test_bad_regex*;test_cli.py::test_missing_pattern*|
FIND-DEFAULT|find|find defaults to both providers, Claude children and Codex archives; project/provider filters narrow that union.|test_find.py::test_both_providers*;test_find.py::test_child_archive*;test_find.py::test_project_and_provider*|FIND-roundtrip
FIND-CLUES|find|All clues must match somewhere in the same session; --any accepts any clue; quoted phrases must occur within one event.|test_find.py::test_exact_phrases*;test_find_integrity.py::test_long_tokens*;test_find_integrity.py::test_clues_never*|
FIND-TOKENIZATION|find|Matching is case-insensitive, normalizes most Latin diacritics and punctuation, and treats FTS syntax as data.|test_find.py::test_exact_phrases*;test_find_integrity.py::test_escaped_unicode*;test_find_integrity.py::test_usage_errors*|FIND-unicode-match
FIND-EVIDENCE|find|Ranked hits include source coordinates and up to three bounded excerpts that actually show the matched text, including normalized matches.|test_find.py::test_actual_source*;test_find_integrity.py::test_escaped_unicode*|FIND-unicode-evidence;FIND-roundtrip
FIND-LIMIT|find|Ranked search defaults to five sessions, -n changes the limit and zero returns all; total counts logical deduplicated sessions.|test_find.py::test_only_displayed*;test_find.py::test_child_archive*;test_find_paths.py::test_path_limits*|
FIND-PATHS|find|--paths skips ranking/excerpt reads, returns sorted physical paths including copies, defaults to all, and uses paths in JSON.|test_find_paths.py::*|FIND-paths
FIND-CURRENT|find|CODEX_THREAD_ID takes precedence over CODEX_SESSION_ID; current Codex files are excluded unless --include-current or explicit --file selects them.|test_find_current.py::*|FIND-exclusion
FIND-EXCLUDE|find|Repeatable --exclude-session excludes full session IDs for either provider and reports excluded-file counts in coverage.|test_find_current.py::test_explicit_exclusion*;test_find_current.py::test_fast_cli*|
FIND-FRESHNESS|find|Every request checks inventory and source identity; additions, appends, rewrites, replacements and deletions change subsequent results.|test_find.py::test_new_files*;test_find_integrity.py::test_replacement_preserving*;test_find_paths.py::test_paths_remain*|FIND-freshness
FIND-COMPLETENESS|find|Missing requested roots, incomplete metadata and sources changed during search set complete=false and exit 2; unstable results are withheld.|test_find.py::test_partial_coverage*;test_find_integrity.py::test_changes_during*;test_find_integrity.py::test_incomplete_codex*;test_find_integrity.py::test_explicit_missing*;test_find_paths.py::test_paths_report*|
FIND-INDEX|find|--index prepares the ranked index; find requires caching and errors with recovery instructions on unavailable or corrupt cache data.|test_find.py::test_cache_clear*;test_find_integrity.py::test_corrupt_cached*;test_find_integrity.py::test_usage_errors*|
FIND-WARM|find|Warm inventory does not parse unchanged transcripts; only displayed results load excerpt bodies and cached tool outcomes remain canonical.|test_find.py::test_warm_inventory*;test_find.py::test_only_displayed*;test_find.py::test_cache_rebuild*|
INDEX-PREPARE|index|index builds search data within the selected provider/project scope; --clear removes search, ranked, catalog and read caches.|test_search_index.py::test_index_command*;test_find.py::test_cache_clear*;test_read_cache.py::test_newline_framing*|INDEX-clear
INDEX-LOCATION|index|Caches respect SXR_CACHE_DIR and XDG_CACHE_HOME, default to ~/.cache/sxr, and are created with owner-only access.|test_search_index.py::test_cache_is_private*|
INDEX-LITERAL|index|Literal searches of at least three characters use the index; short patterns and regex operators use direct reads with identical outputs.|test_search_index.py::test_unsupported_patterns*;test_search_index.py::test_trigram_candidates*;test_search_index.py::test_cold_and_warm*|GREP-cache-parity
INDEX-UNICODE|index|Escaped and normalized Unicode remains searchable without incorrect candidate exclusions.|test_search_index.py::test_normalized_unicode*;test_find_integrity.py::test_escaped_unicode*|
INDEX-INCREMENTAL|index|Verified appends decode only new records; partial final lines are revisited; edits and same-mtime replacements invalidate stale data.|test_index_records.py::*;test_search_index.py::test_rewrite_replaces*;test_search_index.py::test_deleted_sources*;test_search_index.py::test_warm_index*|
INDEX-FALLBACK|index|Unavailable, locked, corrupt or unsupported caches fall back to direct grep/read results; cache faults never masquerade as no matches.|test_search_index.py::test_cache_failures*;test_search_index.py::test_bad_compressed*;test_search_index.py::test_unavailable_sqlite*;test_read_cache.py::test_cache_failures*|
INDEX-CATALOG|index|Catalog migrations preserve warm results and scope filtering precedes construction of unrelated references.|test_catalog.py::*|
READ-CACHE|index|Zooms cache positions and seek only selected physical records while retaining whole-session outcomes and event counts.|test_read_cache.py::test_cold_and_warm*;test_read_cache.py::test_warm_zoom*;test_read_cache.py::test_codex_aliases*|
READ-INVALIDATION|index|Any source change rebuilds read positions and earlier tool outcomes; concurrent mutation falls back or prevents publication of an unstable snapshot.|test_read_cache.py::test_source_mutation*;test_read_cache.py::test_appended_claude*;test_read_cache.py::test_mutation_during*|
PROVIDER-FRAMING|providers|Blank, torn, invalid UTF-8 and supported line endings preserve source event coordinates across direct and cached reads.|test_read_cache.py::test_blank_torn*;test_read_cache.py::test_newline_framing*;test_index_records.py::test_torn_json*|
PROVIDER-CODEX-OUTCOMES|providers|Modern completed command items and legacy function-call outputs retain command, output, exit/status and line numbers; stable IDs deduplicate representations without merging separate executions.|test_codex_outcomes.py::*;test_search_index.py::test_appended_codex*|
SECRETS-SCAN|secrets|Audit scans selected session credentials, including values in recorded tool inputs such as Write.content, and returns a masked rotation worklist.|test_secrets.py::test_secrets_view*|SECRETS-write-input
SECRETS-DETECTORS|secrets|Bundled text rules, provider prefixes, URL credentials, JWT validation, password assignments and private-key recognition distinguish certain/probable findings from placeholders.|test_secrets.py::test_provider_keys*;test_secrets.py::test_anthropic*;test_secrets.py::test_aws*;test_secrets.py::test_jwt*;test_secrets.py::test_url*;test_secrets.py::test_password*;test_secret_rules.py::*|
SECRETS-CANDIDATES|secrets|--candidates opts into entropy review findings; candidates and hexadecimal noise are excluded by default and overlap keeps the strongest finding.|test_secrets.py::test_candidates*;test_secrets.py::test_overlaps*;test_secrets.py::test_shannon*|
SECRETS-MASKING|secrets|Neither text nor JSON exposes credential values; fingerprints are stable and salted and worklists aggregate occurrences and session spread.|test_secrets.py::test_fingerprint*;test_secrets.py::test_marker*;test_secrets.py::test_secrets_view*|SECRETS-dry-apply
SECRETS-LIMIT|secrets|-n limits the worklist and reports omitted findings without misrepresenting the full distinct-secret count.||LIMIT-secrets-notice
SECRETS-ROUTING|secrets|secrets audits by default, accepts a session selector or audit subcommand, and exposes clean as a nested command.|test_secrets_cli.py::test_existing_audit*;test_secrets_cli.py::test_help*;test_secrets_cli.py::test_conflicting_provider*|
CLEAN-PREVIEW|clean|secrets clean is a dry run unless --apply is supplied; preview scans the same selected files without rewriting them.|test_clean.py::test_dry_run*;test_secrets_cli.py::test_clean_flag_positions*|SECRETS-dry-apply
CLEAN-APPLY|clean|Apply rewrites only certain/probable credentials with redaction markers, leaves no backup, and is idempotent; an already-clean scope exits 1.|test_clean.py::test_apply*;test_clean.py::test_clean_scope*|SECRETS-dry-apply
CLEAN-STRUCTURED|clean|Cleaning finds decoded JSON string credentials, nested/serialized JSON, whole structured passwords, duplicate members, escaped text and multiline private keys.|test_secret_rewrite.py::*|
CLEAN-PRESERVATION|clean|Property names, unrelated values, untouched bytes, invalid lines and line endings survive; replacements are longest-first and do not alter protocol metadata.|test_secret_rewrite.py::test_replacements_do_not*;test_secret_rewrite.py::test_credential_value*;test_secret_rewrite.py::test_overlapping*;test_clean.py::test_apply_rewrites*|
CLEAN-SCOPE|clean|Cleaning includes selected provenance copies and Claude children once per physical file; explicit --file selects no extra copies or children.|test_clean_files.py::test_all_provenance*;test_clean_files.py::test_explicit_file*;test_clean_files.py::test_aliases*|
CLEAN-LIVE|clean|Each physical file's recent activity is checked independently; timestamps within ten minutes of now cause a skip, including nested children.|test_clean_files.py::test_nested_child*;test_clean_files.py::test_activity_skips*;test_lazy_discovery.py::test_clean_loads*;test_clean_files.py::test_reverse_lines*|
CLEAN-ATOMIC|clean|Changed files are replaced atomically with original permissions after identity, size and timestamp checks; concurrent writes cause an error and remain intact.|test_clean_files.py::test_first_change*;test_clean_files.py::test_same_size*;test_clean_files.py::test_append_during*;test_clean.py::test_racing_writer*|
CLEAN-TEMP|clean|Files without findings need no temporary copy; failed temporary files are removed and cleanup failures are reported.|test_clean_files.py::test_clean_file_creates*;test_clean_files.py::test_partial_temporary*;test_clean_files.py::test_failed_temporary*;test_secrets_cli.py::test_clean_does_not*|
CLEAN-SYMLINK|clean|Cleaning follows a selected symlink to the physical target while preserving the symlink and avoiding duplicate work.|test_clean_files.py::test_symlink*;test_clean_files.py::test_aliases*|
CLEAN-ERRORS|clean|File errors and decode failures return exit 2 without a traceback; unrelated selected files can still be processed.|test_clean_files.py::test_missing_file*;test_clean_files.py::test_activity_decode*|
CLEAN-CACHE|clean|Apply clears derived transcript caches before and after the rewrite and refuses changes if the first clear fails.|test_search_index.py::test_clean_removes*;test_search_index.py::test_clean_refuses*|
CLEAN-RULE-COVERAGE|clean|Unsupported bundled rules stop scanning rather than silently reducing coverage; all bundled rules compile with correct captures and flags.|test_secret_rules.py::*;test_secrets.py::test_ruleset*|
SKILLS-DISCOVERY|skills|Discover SKILL.md recursively across configured roots including hidden, repository, dependency and external config locations; only sxr's own cache is excluded.|test_skills.py::test_default_roots*;test_skills.py::test_discovery_needs*;test_skills.py::test_index_under*|
SKILLS-ROOTS|skills|Repeated --root selects roots; --index --root remembers them; lookup-only roots use a separate map; --defaults restores home discovery.|test_skills.py::test_custom_roots*;test_skills.py::test_old_default_map*|
SKILLS-SYMLINKS|skills|Follow directory symlinks once per physical directory, skip cycles, retain aliases without counting them as extra copies.|test_skills.py::test_each_physical*;test_skills.py::test_cycles_missing*;test_skills_content.py::test_content_versions*|
SKILLS-QUERY|skills|Queries match case-insensitive directory/path clues; --exact requires a whole directory name and qualified clues filter locations before grouping.|test_skills.py::test_exact_qualified*;test_skills_content.py::test_scope_and_renamed*|
SKILLS-GROUP|skills|SHA-256 groups byte-identical instruction files, retaining copies and locations; different contents stay distinct and supporting assets are not compared.|test_skills_content.py::test_identical*;test_skills_content.py::test_content_versions*|SKILLS-workflow
SKILLS-PATHS|skills|--paths prints canonical representatives; --copies expands matching files; --aliases adds aliases for returned files without increasing copies.|test_skills.py::test_paths_aliases*;test_skills_content.py::test_identical*;test_skills_content.py::test_content_versions*|SKILLS-workflow
SKILLS-LIMIT|skills|Text/JSON default to 20 groups, paths defaults to all, -n limits results, zero lifts the cap, and totals remain accurate.|test_skills.py::test_bounded_output*;test_skills.py::test_exact_qualified*|
SKILLS-JSON|skills|JSON includes skills, total, unique, files, complete, errors, coverage, indexed_at, cycles_skipped and index path.|test_skills.py::test_cycles_missing*;test_skills.py::test_bounded_output*;test_skills_content.py::test_identical*|
SKILLS-FRESHNESS|skills|Warm lookups validate matching files without rediscovery; edits are rehashed before grouping; new installations require --index.|test_skills.py::test_warm_lookup*;test_skills.py::test_reindex_discovers*;test_skills_content.py::test_changed_copy*|SKILLS-workflow
SKILLS-VANISHED|skills|Reindex omits vanished paths, old poisoned maps repair stale missing-file diagnostics, and changed/deleted matching paths request a reindex.|test_skills_vanished.py::*;test_skills_content.py::test_deleted_representative*;test_skills.py::test_changed_alias*|
SKILLS-ERRORS|skills|Missing explicit roots, permission errors, changing hashes and retargeted aliases report incomplete discovery and exit 2; ordinary lookup diagnostics are bounded.|test_skills.py::test_cycles_missing*;test_skills.py::test_discovery_retries*;test_skills_content.py::test_unreadable*;test_skills_content.py::test_changed_while*;test_skills_vanished.py::test_permission*|
SKILLS-HASH-RETRY|skills|Transient changes while hashing are retried; stable file signatures reuse hashes on reindex.|test_skills_content.py::test_file_that_changes*;test_skills_content.py::test_changed_copy*|
SKILLS-MAP|skills|The map persists across upgrades, migrates supported old versions, rebuilds corrupt data and is replaced atomically.|test_skills.py::test_corrupt_map*;test_skills.py::test_old_default_map*;test_skills_content.py::test_version_two*;test_skills_content.py::test_corrupt_hash*|
SKILLS-CLEAR|skills|--clear removes the default map and remembered roots; SXR_NO_CACHE scans without saving a map.|test_skills.py::test_uncached_lookup_and_clear|SKILLS-workflow
SKILLS-USAGE|skills|Invalid combinations such as --aliases without --paths, --exact without a query and conflicting clear/root/default flags return exit 2.|test_skills.py::test_bad_skill_flags*|
INIT-PRINT|init|Bare init emits the versioned primer without modifying instruction files.|test_init.py::test_init_emits*;test_init.py::test_version_is_not*|
INIT-TARGET|init|--write chooses the nearest AGENTS.md walking upward, creates one in cwd if absent, or respects an explicit file.|test_init.py::test_write_walks*;test_init.py::test_write_creates*;test_init.py::test_explicit_file*;test_init.py::test_nearest*|
INIT-GLOBAL|init|--global chooses existing ~/.agents/AGENTS.md, then ~/.claude/CLAUDE.md, then ~/AGENTS.md.|test_init.py::test_global_target*;test_init.py::test_global_writes*|
INIT-IDEMPOTENT|init|--write appends/replaces only the marked block, preserves neighboring prose, and becomes byte-identical on a second invocation.|test_init.py::test_write_appends*;test_init.py::test_write_replaces*;test_init.py::test_write_twice*;test_init.py::test_write_on*|INIT-workflow
INIT-CHECK|init|--check returns 0 for the current version, 1 for missing/stale blocks, and reports version drift.|test_init.py::test_check_is_quiet*;test_init.py::test_check_exits_1*;test_init.py::test_check_names*|INIT-workflow
INIT-MARKERS|init|Unbalanced, reversed or repeated primer markers return exit 2 and leave the file untouched.|test_init.py::test_write_refuses*;test_init.py::test_check_corrupted*;test_init.py::test_find_block*|
INIT-USAGE|init|--write/--check and --global/explicit-file conflicts are rejected; a file argument alone does not guess whether to write.|test_init.py::test_write_and_check*;test_init.py::test_global_and_an*;test_init.py::test_a_file_argument*|
INIT-IO-ERROR|init|Destination filesystem errors produce a useful diagnostic with exit 2 instead of an uncaught traceback.||INIT-file-error
WORKER-REUSE|worker|The native launcher starts a local worker for find/skills, reuses its PID and SQLite pages, and observes edits and cleared caches.|test_worker.py::test_worker_reuses*;test_worker.py::test_worker_skill*|
WORKER-CALLER|worker|Each request forwards its own cwd, provider roots, cache settings and current-session identity, including unset values.|test_worker.py::test_worker_reuses*;test_worker.py::test_worker_skill*|
WORKER-FALLBACK|worker|Concurrent starts and relocated launchers work; SXR_NO_DAEMON and failed worker startup fall back to direct execution.|test_worker.py::test_worker_parallel*;test_worker.py::test_worker_refused*|
WORKER-CONTROL|worker|serve status reports worker PID/version, serve stop releases it, and the worker expires after idle timeout.|test_worker.py::test_worker_idle*;test_worker.py::test_worker_parallel*;test_worker.py::test_worker_reuses*|
WORKER-PROTOCOL|worker|The socket is owner-only; oversized/malformed requests and unexpected environment keys are rejected.|test_worker.py::test_worker_idle*;test_worker.py::test_protocol*;test_worker.py::test_worker_refused*|
WORKER-SKILLS-INDEX|worker|Explicit skill reindexing runs separately so lookups continue through the existing worker.|test_worker.py::test_explicit_skill_index*|
BUILD-MACOS-ARM64|distribution|A freshly built macOS arm64 archive relocates successfully and works without system Python or Homebrew on PATH.||
BUILD-OTHER-PLATFORMS|distribution|macOS x86_64 and Linux arm64/x86_64 archives run on the documented macOS/Ubuntu hosts.||
INSTALL-HOMEBREW|distribution|The Homebrew formula installs/updates the matching prebuilt bundle without compiling a Python/OpenSSL dependency chain.||
PERFORMANCE-RELEASE|performance|Published 0.8/0.9 benchmark measurements remain historical measurements; this working tree's performance against those baselines requires the original corpus and protocol.||
